Batch Size per GPU: 1
Total trianing steps: 69600
TR, GPU ID : 1, ST: 0, BN: 0, loss : 2.491030216217041, lr : 5e-06
TR, GPU ID : 2, ST: 0, BN: 0, loss : 1.7905640602111816, lr : 5e-06
TR, GPU ID : 0, ST: 0, BN: 0, loss : 2.2398593425750732, lr : 5e-06
TR, GPU ID : 3, ST: 0, BN: 0, loss : 2.040512800216675, lr : 5e-06
TR, GPU ID : 5, ST: 0, BN: 0, loss : 2.194699287414551, lr : 5e-06
TR, GPU ID : 6, ST: 0, BN: 0, loss : 2.072087287902832, lr : 5e-06
TR, GPU ID : 7, ST: 0, BN: 0, loss : 2.528965950012207, lr : 5e-06
TR, GPU ID : 4, ST: 0, BN: 0, loss : 2.146803140640259, lr : 5e-06
TR, GPU ID : 5, ST: 1, BN: 1, loss : 2.262296676635742, lr : 1e-05
TR, GPU ID : 7, ST: 1, BN: 1, loss : 2.369152784347534, lr : 1e-05
TR, GPU ID : 2, ST: 1, BN: 1, loss : 2.5428316593170166, lr : 1e-05
TR, GPU ID : 3, ST: 1, BN: 1, loss : 2.4358208179473877, lr : 1e-05
TR, GPU ID : 4, ST: 1, BN: 1, loss : 2.6527786254882812, lr : 1e-05
TR, GPU ID : 1, ST: 1, BN: 1, loss : 2.2671287059783936, lr : 1e-05
TR, GPU ID : 0, ST: 1, BN: 1, loss : 2.3885881900787354, lr : 1e-05
TR, GPU ID : 6, ST: 1, BN: 1, loss : 1.913986086845398, lr : 1e-05
TR, GPU ID : 2, ST: 2, BN: 2, loss : 2.9813690185546875, lr : 1.5e-05
TR, GPU ID : 1, ST: 2, BN: 2, loss : 2.0889737606048584, lr : 1.5e-05
TR, GPU ID : 5, ST: 2, BN: 2, loss : 1.932969093322754, lr : 1.5e-05
TR, GPU ID : 3, ST: 2, BN: 2, loss : 2.2904279232025146, lr : 1.5e-05
TR, GPU ID : 4, ST: 2, BN: 2, loss : 2.2032248973846436, lr : 1.5e-05
TR, GPU ID : 7, ST: 2, BN: 2, loss : 2.0177414417266846, lr : 1.5e-05
TR, GPU ID : 0, ST: 2, BN: 2, loss : 2.7123963832855225, lr : 1.5e-05
TR, GPU ID : 6, ST: 2, BN: 2, loss : 1.7962360382080078, lr : 1.5e-05
TR, GPU ID : 4, ST: 3, BN: 3, loss : 2.4115216732025146, lr : 2e-05
TR, GPU ID : 1, ST: 3, BN: 3, loss : 2.0678765773773193, lr : 2e-05
TR, GPU ID : 3, ST: 3, BN: 3, loss : 1.6439555883407593, lr : 2e-05
TR, GPU ID : 5, ST: 3, BN: 3, loss : 2.8078231811523438, lr : 2e-05
TR, GPU ID : 7, ST: 3, BN: 3, loss : 2.3886260986328125, lr : 2e-05
TR, GPU ID : 2, ST: 3, BN: 3, loss : 2.6479265689849854, lr : 2e-05
TR, GPU ID : 6, ST: 3, BN: 3, loss : 2.5360004901885986, lr : 2e-05
TR, GPU ID : 0, ST: 3, BN: 3, loss : 2.543374538421631, lr : 2e-05
TR, GPU ID : 7, ST: 4, BN: 4, loss : 2.0539636611938477, lr : 2.5e-05
TR, GPU ID : 5, ST: 4, BN: 4, loss : 2.9198505878448486, lr : 2.5e-05
TR, GPU ID : 4, ST: 4, BN: 4, loss : 1.789823055267334, lr : 2.5e-05
TR, GPU ID : 1, ST: 4, BN: 4, loss : 2.5486857891082764, lr : 2.5e-05
TR, GPU ID : 6, ST: 4, BN: 4, loss : 2.5150880813598633, lr : 2.5e-05
TR, GPU ID : 2, ST: 4, BN: 4, loss : 2.68811297416687, lr : 2.5e-05
TR, GPU ID : 3, ST: 4, BN: 4, loss : 2.2162818908691406, lr : 2.5e-05
TR, GPU ID : 0, ST: 4, BN: 4, loss : 2.9984824657440186, lr : 2.5e-05
TR, GPU ID : 4, ST: 5, BN: 5, loss : 1.6988424062728882, lr : 3e-05
TR, GPU ID : 1, ST: 5, BN: 5, loss : 1.7430931329727173, lr : 3e-05
TR, GPU ID : 2, ST: 5, BN: 5, loss : 2.2946293354034424, lr : 3e-05
TR, GPU ID : 7, ST: 5, BN: 5, loss : 1.777866244316101, lr : 3e-05
TR, GPU ID : 5, ST: 5, BN: 5, loss : 2.0061333179473877, lr : 3e-05
TR, GPU ID : 6, ST: 5, BN: 5, loss : 1.9501690864562988, lr : 3e-05
TR, GPU ID : 0, ST: 5, BN: 5, loss : 2.187666654586792, lr : 3e-05
TR, GPU ID : 3, ST: 5, BN: 5, loss : 3.0730526447296143, lr : 3e-05
TR, GPU ID : 7, ST: 6, BN: 6, loss : 2.119769811630249, lr : 3.5000000000000004e-05
TR, GPU ID : 4, ST: 6, BN: 6, loss : 2.6791818141937256, lr : 3.5000000000000004e-05
TR, GPU ID : 5, ST: 6, BN: 6, loss : 2.265815019607544, lr : 3.5000000000000004e-05
