dataset,root,data_split,facial_video,EEG,ECG,EDA,EOG,EMG,GSR,BVP,respiration,skin_temp,heart_rate,IBI,MEG,anno_type,self_annotation,external_annotation,partner_annotation,frame_size,fps,duration,EEG_vec_counts,EEG_ch,bool_both_file,label_id,participant_id,sample_id,fold
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/060_Trial_20_Speaking_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/060_Trial_20_Speaking_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,0,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/154_Trial_14_Speaking_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/154_Trial_14_Speaking_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.1,10000,30,True,1,1,1,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/165_Trial_05_Listening_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/165_Trial_05_Listening_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.1,10000,30,True,1,1,2,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/196_Trial_16_Speaking_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/196_Trial_16_Speaking_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.033333,10000,30,True,4,1,3,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/025_Trial_05_Listening_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/025_Trial_05_Listening_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.033333,10000,30,True,1,1,4,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/021_Trial_01_Listening_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/021_Trial_01_Listening_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.133333,10000,30,True,3,1,5,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/023_Trial_03_Listening_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/023_Trial_03_Listening_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.1,10000,30,True,1,1,6,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/056_Trial_16_Speaking_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/056_Trial_16_Speaking_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,7,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/199_Trial_19_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/199_Trial_19_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.0,10000,30,True,4,1,8,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/181_Trial_01_Listening_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/181_Trial_01_Listening_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.033333,10000,30,True,3,1,9,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/110_Trial_10_Speaking_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/110_Trial_10_Speaking_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.033333,10000,30,True,2,1,10,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/142_Trial_02_Speaking_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/142_Trial_02_Speaking_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.033333,10000,30,True,3,1,11,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/184_Trial_04_Speaking_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/184_Trial_04_Speaking_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.1,10000,30,True,2,1,12,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/062_Trial_02_Speaking_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/062_Trial_02_Speaking_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.1,10000,30,True,3,1,13,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/049_Trial_09_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/049_Trial_09_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.033333,10000,30,True,4,1,14,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/174_Trial_14_Speaking_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/174_Trial_14_Speaking_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.1,10000,30,True,2,1,15,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/107_Trial_07_Listening_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/107_Trial_07_Listening_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.133333,10000,30,True,2,1,16,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/077_Trial_17_Listening_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/077_Trial_17_Listening_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.033333,10000,30,True,0,1,17,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/137_Trial_17_Listening_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/137_Trial_17_Listening_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.033333,10000,30,True,0,1,18,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/167_Trial_07_Listening_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/167_Trial_07_Listening_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.033333,10000,30,True,1,1,19,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/112_Trial_12_Speaking_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/112_Trial_12_Speaking_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.033333,10000,30,True,3,1,20,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/146_Trial_06_Speaking_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/146_Trial_06_Speaking_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.033333,10000,30,True,0,1,21,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/144_Trial_04_Speaking_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/144_Trial_04_Speaking_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.033333,10000,30,True,0,1,22,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/039_Trial_19_Listening_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/039_Trial_19_Listening_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.1,10000,30,True,1,1,23,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/045_Trial_05_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/045_Trial_05_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.033333,10000,30,True,4,1,24,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/100_Trial_20_Speaking_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/100_Trial_20_Speaking_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.033333,10000,30,True,2,1,25,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/192_Trial_12_Speaking_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/192_Trial_12_Speaking_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.1,10000,30,True,3,1,26,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/123_Trial_03_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/123_Trial_03_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.033333,10000,30,True,4,1,27,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/140_Trial_20_Speaking_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/140_Trial_20_Speaking_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.1,10000,30,True,0,1,28,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/075_Trial_15_Listening_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/075_Trial_15_Listening_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.1,10000,30,True,0,1,29,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/040_Trial_20_Speaking_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/040_Trial_20_Speaking_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.1,10000,30,True,1,1,30,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/113_Trial_13_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/113_Trial_13_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,31,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/101_Trial_01_Listening_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/101_Trial_01_Listening_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.1,10000,30,True,3,1,32,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/044_Trial_04_Speaking_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/044_Trial_04_Speaking_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,33,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/157_Trial_17_Listening_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/157_Trial_17_Listening_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.033333,10000,30,True,1,1,34,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/193_Trial_13_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/193_Trial_13_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.033333,10000,30,True,4,1,35,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/002_Trial_02_Speaking_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/002_Trial_02_Speaking_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.1,10000,30,True,3,1,36,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/166_Trial_06_Speaking_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/166_Trial_06_Speaking_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.033333,10000,30,True,1,1,37,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/118_Trial_18_Speaking_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/118_Trial_18_Speaking_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,38,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/072_Trial_12_Speaking_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/072_Trial_12_Speaking_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.0,10000,30,True,3,1,39,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/125_Trial_05_Listening_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/125_Trial_05_Listening_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,40,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/031_Trial_11_Listening_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/031_Trial_11_Listening_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.1,10000,30,True,3,1,41,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/073_Trial_13_Listening_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/073_Trial_13_Listening_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.1,10000,30,True,0,1,42,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/051_Trial_11_Listening_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/051_Trial_11_Listening_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.133333,10000,30,True,3,1,43,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/024_Trial_04_Speaking_Calmness.mp4,./datasets/EAV/EAV/subject1/EEG/024_Trial_04_Speaking_Calmness.csv,False,False,False,False,False,False,False,False,False,False,False,category,calmness,False,False,640/480,30,21.0,10000,30,True,1,1,44,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/098_Trial_18_Speaking_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/098_Trial_18_Speaking_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.033333,10000,30,True,2,1,45,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/046_Trial_06_Speaking_Sadness.mp4,./datasets/EAV/EAV/subject1/EEG/046_Trial_06_Speaking_Sadness.csv,False,False,False,False,False,False,False,False,False,False,False,category,sadness,False,False,640/480,30,21.1,10000,30,True,4,1,46,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/108_Trial_08_Speaking_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/108_Trial_08_Speaking_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.033333,10000,30,True,2,1,47,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/103_Trial_03_Listening_Happiness.mp4,./datasets/EAV/EAV/subject1/EEG/103_Trial_03_Listening_Happiness.csv,False,False,False,False,False,False,False,False,False,False,False,category,happiness,False,False,640/480,30,21.033333,10000,30,True,2,1,48,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/071_Trial_11_Listening_Neutral.mp4,./datasets/EAV/EAV/subject1/EEG/071_Trial_11_Listening_Neutral.csv,False,False,False,False,False,False,False,False,False,False,False,category,neutral,False,False,640/480,30,21.133333,10000,30,True,3,1,49,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/014_Trial_14_Speaking_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/014_Trial_14_Speaking_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.1,10000,30,True,0,1,50,3
EAV,./datasets/EAV,train,./datasets/EAV/EAV/subject1/cropped_video/139_Trial_19_Listening_Anger.mp4,./datasets/EAV/EAV/subject1/EEG/139_Trial_19_Listening_Anger.csv,False,False,False,False,False,False,False,False,False,False,False,category,anger,False,False,640/480,30,21.033333,10000,30,True,0,1,51,3
