dataset,root,data_split,facial_video,EEG,ECG,EDA,EOG,EMG,GSR,BVP,respiration,skin_temp,heart_rate,IBI,PPG,MEG,anno_type,self_annotation,external_annotation,partner_annotation,frame_size,fps,duration,EEG_vec_counts,EEG_ch,bool_both_file,participant_id,sample_id,fold
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_baseline.mp4,./datasets/Emognition/EEG/22/22_BASELINE_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_baseline_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_baseline_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[5, 2, 4]",False,False,1080/1920,60,316.916667,81542,4,True,22,0,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_neutral.mp4,./datasets/Emognition/EEG/22/22_NEUTRAL_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_neutral_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_neutral_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[4, 2, 5]",False,False,1080/1920,60,121.333333,31241,4,True,22,1,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_awe.mp4,./datasets/Emognition/EEG/22/22_AWE_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_awe_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_awe_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[8, 5, 8]",False,False,1080/1920,60,115.95,29976,4,True,22,2,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_disgust.mp4,./datasets/Emognition/EEG/22/22_DISGUST_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_disgust_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_disgust_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[3, 6, 3]",False,False,1080/1920,60,68.516667,17680,4,True,22,3,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_surprise.mp4,./datasets/Emognition/EEG/22/22_SURPRISE_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_surprise_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_surprise_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[6, 4, 7]",False,False,1080/1920,60,49.283333,12810,4,True,22,4,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_anger.mp4,./datasets/Emognition/EEG/22/22_ANGER_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_anger_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_anger_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[2, 8, 2]",False,False,1080/1920,60,120.0,30745,4,True,22,5,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_enthusiasm.mp4,./datasets/Emognition/EEG/22/22_ENTHUSIASM_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_enthusiasm_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_enthusiasm_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[8, 6, 8]",False,False,1080/1920,60,119.2,30745,4,True,22,6,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_liking.mp4,./datasets/Emognition/EEG/22/22_LIKING_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_liking_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_liking_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[6, 4, 7]",False,False,1080/1920,60,111.266667,28694,4,True,22,7,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_fear.mp4,./datasets/Emognition/EEG/22/22_FEAR_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_fear_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_fear_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[3, 6, 2]",False,False,1080/1920,60,120.383333,31009,4,True,22,8,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_amusement.mp4,./datasets/Emognition/EEG/22/22_AMUSEMENT_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_amusement_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_amusement_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[6, 4, 7]",False,False,1080/1920,60,120.066667,30739,4,True,22,9,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/22_sadness.mp4,./datasets/Emognition/EEG/22/22_SADNESS_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/22/22_sadness_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/22/22_sadness_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[3, 5, 6]",False,False,1080/1920,60,118.916667,30767,4,True,22,10,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/23_baseline.mp4,./datasets/Emognition/EEG/23/23_BASELINE_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/23/23_baseline_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/23/23_baseline_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[5, 1, 5]",False,False,1080/1920,60,299.95,81550,4,True,23,11,0
Emognition,./datasets/Emognition,train,./datasets/Emognition/cropped_video/23_neutral.mp4,./datasets/Emognition/EEG/23/23_NEUTRAL_STIMULUS_MUSE.csv,False,False,False,False,False,"./datasets/Emognition/study_data/23/23_neutral_STIMULUS_EMPATICA.json,./datasets/Emognition/study_data/23/23_neutral_STIMULUS_SAMSUNG_WATCH.json",False,False,False,False,False,False,"valence, arousal, motivation","[5, 3, 7]",False,False,1080/1920,60,121.3,31308,4,True,23,12,0
