dataset,root,data_split,facial_video,EEG,ECG,EDA,EOG,EMG,GSR,BVP,respiration,skin_temp,heart_rate,IBI,MEG,anno_type,self_annotation,external_annotation,partner_annotation,frame_size,fps,duration,EEG_vec_counts,EEG_ch,bool_both_file,participant_id,sample_id,fold
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/0.mp4,./datasets/MDMER/MDMER_physio/EEG/1_0_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_0_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_0_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 6, 7]",False,False,640/480,30,21.0,6300,18,True,1,0,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/1.mp4,./datasets/MDMER/MDMER_physio/EEG/1_1_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_1_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_1_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 7, 7]",False,False,640/480,30,30.0,9000,18,True,1,1,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/2.mp4,./datasets/MDMER/MDMER_physio/EEG/1_2_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_2_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_2_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 7, 7]",False,False,640/480,30,30.0,9000,18,True,1,2,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/3.mp4,./datasets/MDMER/MDMER_physio/EEG/1_3_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_3_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_3_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[4, 6, 7]",False,False,640/480,30,30.0,9000,18,True,1,3,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/4.mp4,./datasets/MDMER/MDMER_physio/EEG/1_4_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_4_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_4_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 5, 7]",False,False,640/480,30,29.0,8700,18,True,1,4,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/5.mp4,./datasets/MDMER/MDMER_physio/EEG/1_5_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_5_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_5_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 7, 8]",False,False,640/480,30,30.0,9000,18,True,1,5,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/6.mp4,./datasets/MDMER/MDMER_physio/EEG/1_6_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_6_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_6_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[2, 5, 8]",False,False,640/480,30,30.0,9000,18,True,1,6,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/7.mp4,./datasets/MDMER/MDMER_physio/EEG/1_7_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_7_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_7_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 8, 6]",False,False,640/480,30,28.0,8400,18,True,1,7,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/8.mp4,./datasets/MDMER/MDMER_physio/EEG/1_8_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_8_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_8_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 2, 6]",False,False,640/480,30,22.0,6600,18,True,1,8,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/9.mp4,./datasets/MDMER/MDMER_physio/EEG/1_9_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_9_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_9_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 3, 6]",False,False,640/480,30,23.0,6900,18,True,1,9,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/10.mp4,./datasets/MDMER/MDMER_physio/EEG/1_10_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_10_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_10_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 1, 6]",False,False,640/480,30,30.0,9000,18,True,1,10,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/11.mp4,./datasets/MDMER/MDMER_physio/EEG/1_11_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_11_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_11_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 7]",False,False,640/480,30,31.0,9300,18,True,1,11,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/12.mp4,./datasets/MDMER/MDMER_physio/EEG/1_12_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_12_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_12_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 2, 7]",False,False,640/480,30,24.0,7200,18,True,1,12,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/13.mp4,./datasets/MDMER/MDMER_physio/EEG/1_13_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_13_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_13_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[8, 1, 5]",False,False,640/480,30,28.0,8400,18,True,1,13,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/14.mp4,./datasets/MDMER/MDMER_physio/EEG/1_14_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_14_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_14_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 2, 6]",False,False,640/480,30,29.0,8700,18,True,1,14,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/15.mp4,./datasets/MDMER/MDMER_physio/EEG/1_15_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_15_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_15_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 1, 7]",False,False,640/480,30,27.0,8100,18,True,1,15,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/16.mp4,./datasets/MDMER/MDMER_physio/EEG/1_16_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_16_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_16_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 5, 8]",False,False,640/480,30,29.0,8700,18,True,1,16,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/17.mp4,./datasets/MDMER/MDMER_physio/EEG/1_17_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_17_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_17_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 8]",False,False,640/480,30,29.0,8700,18,True,1,17,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/18.mp4,./datasets/MDMER/MDMER_physio/EEG/1_18_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_18_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_18_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 7]",False,False,640/480,30,28.0,8400,18,True,1,18,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/19.mp4,./datasets/MDMER/MDMER_physio/EEG/1_19_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_19_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_19_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 6, 7]",False,False,640/480,30,30.0,9000,18,True,1,19,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/20.mp4,./datasets/MDMER/MDMER_physio/EEG/1_20_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_20_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_20_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[2, 4, 8]",False,False,640/480,30,32.0,9600,18,True,1,20,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/21.mp4,./datasets/MDMER/MDMER_physio/EEG/1_21_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_21_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_21_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 7]",False,False,640/480,30,27.0,8100,18,True,1,21,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/22.mp4,./datasets/MDMER/MDMER_physio/EEG/1_22_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_22_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_22_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 8]",False,False,640/480,30,32.0,9600,18,True,1,22,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/23.mp4,./datasets/MDMER/MDMER_physio/EEG/1_23_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_23_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_23_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[4, 3, 7]",False,False,640/480,30,24.0,7200,18,True,1,23,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/24.mp4,./datasets/MDMER/MDMER_physio/EEG/1_24_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_24_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_24_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 7]",False,False,640/480,30,26.0,7800,18,True,1,24,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/25.mp4,./datasets/MDMER/MDMER_physio/EEG/1_25_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_25_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_25_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 4, 8]",False,False,640/480,30,23.0,6900,18,True,1,25,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/26.mp4,./datasets/MDMER/MDMER_physio/EEG/1_26_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_26_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_26_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 7]",False,False,640/480,30,30.0,9000,18,True,1,26,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/27.mp4,./datasets/MDMER/MDMER_physio/EEG/1_27_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_27_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_27_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 9]",False,False,640/480,30,24.0,7200,18,True,1,27,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/28.mp4,./datasets/MDMER/MDMER_physio/EEG/1_28_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_28_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_28_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 4, 7]",False,False,640/480,30,25.0,7500,18,True,1,28,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/29.mp4,./datasets/MDMER/MDMER_physio/EEG/1_29_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_29_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_29_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 4, 7]",False,False,640/480,30,24.0,7200,18,True,1,29,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/30.mp4,./datasets/MDMER/MDMER_physio/EEG/1_30_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_30_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_30_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 3, 8]",False,False,640/480,30,21.0,6300,18,True,1,30,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/1/31.mp4,./datasets/MDMER/MDMER_physio/EEG/1_31_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/1_31_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/1_31_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 2, 8]",False,False,640/480,30,29.0,8700,18,True,1,31,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/0.mp4,./datasets/MDMER/MDMER_physio/EEG/2_0_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_0_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_0_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 5, 5]",False,False,640/480,30,21.0,6300,18,True,2,32,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/1.mp4,./datasets/MDMER/MDMER_physio/EEG/2_1_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_1_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_1_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[3, 5, 7]",False,False,640/480,30,30.0,9000,18,True,2,33,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/2.mp4,./datasets/MDMER/MDMER_physio/EEG/2_2_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_2_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_2_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[5, 6, 5]",False,False,640/480,30,30.0,9000,18,True,2,34,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/3.mp4,./datasets/MDMER/MDMER_physio/EEG/2_3_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_3_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_3_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 7, 5]",False,False,640/480,30,30.0,9000,18,True,2,35,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/4.mp4,./datasets/MDMER/MDMER_physio/EEG/2_4_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_4_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_4_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 7, 4]",False,False,640/480,30,29.0,8700,18,True,2,36,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/5.mp4,./datasets/MDMER/MDMER_physio/EEG/2_5_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_5_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_5_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 7, 5]",False,False,640/480,30,30.0,9000,18,True,2,37,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/6.mp4,./datasets/MDMER/MDMER_physio/EEG/2_6_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_6_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_6_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 7, 5]",False,False,640/480,30,30.0,9000,18,True,2,38,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/7.mp4,./datasets/MDMER/MDMER_physio/EEG/2_7_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_7_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_7_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[6, 7, 5]",False,False,640/480,30,28.0,8400,18,True,2,39,4
MDMER,./datasets/MDMER,train,./datasets/MDMER/cropped_video/2/8.mp4,./datasets/MDMER/MDMER_physio/EEG/2_8_EEG.csv,False,False,False,False,./datasets/MDMER/MDMER_physio/GSR/2_8_GSR.csv,./datasets/MDMER/MDMER_physio/BVP/2_8_BVP.csv,False,False,False,False,False,"valence, arousal, dominance","[7, 1, 2]",False,False,640/480,30,22.0,6600,18,True,2,40,4
